index,basin_id,basin,river_id,river,total_length,length_peru,source_place_id,source_place,source_altitude,mouth_place_id,mouth_place,mouth-altitude
302,0.4,Amazonas,302,Río Vilcabamba,152.43,152.43,3,Apurímac,4896,3,Apurímac,"2,216"
6,0.5,Pacific,6,Quebrada Carachosa,52.71,52.71,4,Arequipa,1982,4,Arequipa,108
9,0.5,Pacific,9,Quebrada Chalhuane,60.95,60.95,4,Arequipa,4774,4,Arequipa,849
11,0.5,Pacific,11,Quebrada Choruna,67.57,67.57,4,Arequipa,4779,4,Arequipa,466
22,0.5,Pacific,22,Quebrada Hospicio,55.08,55.08,4,Arequipa,1865,4,Arequipa,801
23,0.5,Pacific,23,Quebrada Huario o Huacocane,60.71,60.71,4,Arequipa,4854,4,Arequipa,699
26,0.5,Pacific,26,Quebrada Jahuay,115.32,115.32,4,Arequipa,4564,4,Arequipa,2
29,0.5,Pacific,29,Quebrada La Chira,53.91,53.91,4,Arequipa,2253,4,Arequipa,0
31,0.5,Pacific,31,Quebrada La Yesera,51.38,51.38,4,Arequipa,2055,4,Arequipa,538
35,0.5,Pacific,35,Quebrada Linga,61.74,61.74,4,Arequipa,3106,4,Arequipa,234
37,0.5,Pacific,37,Quebrada Molles,60.2,60.2,4,Arequipa,3066,4,Arequipa,871
38,0.5,Pacific,38,Quebrada Molles,97.5,97.5,4,Arequipa,4237,4,Arequipa,181
44,0.5,Pacific,44,Quebrada Pescadores,149.82,149.82,4,Arequipa,4550,4,Arequipa,0
46,0.5,Pacific,46,Quebrada Puluviñas,79.46,79.46,4,Arequipa,3707,4,Arequipa,138
56,0.5,Pacific,56,Quebrada Yerbabuena,57.05,57.05,4,Arequipa,2335,4,Arequipa,0
59,0.5,Pacific,59,Rio Pallancata,72.83,72.83,4,Arequipa,4966,5,Ayacucho,"2,979"
71,0.4,Amazonas,71,Río Amazonas-Ucayali,6062.41,3172.01,4,Arequipa,5013,Br,Brasil,0
78,0.5,Pacific,78,Río Atico,86.59,86.59,4,Arequipa,3272,4,Arequipa,2
81,0.5,Pacific,81,Río Blanco,81.25,81.25,4,Arequipa,4726,4,Arequipa,"3,744"
87,0.5,Pacific,87,Río Camaná,412.57,412.57,4,Arequipa,4755,4,Arequipa,4
99,0.5,Pacific,99,Río Challahuire,127,127,4,Arequipa,5017,4,Arequipa,"1,337"
108,0.5,Pacific,108,Río Chichas,90.11,90.11,4,Arequipa,4948,4,Arequipa,890
121,0.5,Pacific,121,Río Cháparra,92.31,92.31,4,Arequipa,3961,4,Arequipa,0
131,0.5,Pacific,131,Río Cotahuasi,158.28,158.28,4,Arequipa,4947,4,Arequipa,910
184,0.5,Pacific,184,Río Lluta,54.99,54.99,4,Arequipa,5051,4,Arequipa,"1,973"
201,0.5,Pacific,201,Río Molloco,88.72,88.72,4,Arequipa,4797,4,Arequipa,"2,092"
220,0.5,Pacific,220,Río Pampamarca,56.28,56.28,4,Arequipa,4908,4,Arequipa,"2,349"
241,0.5,Pacific,241,Río Quilca - Vítor - Chili,275.38,275.38,4,Arequipa,4874,4,Arequipa,3
262,0.5,Pacific,262,Río Sihuas,139.07,139.07,4,Arequipa,4796,4,Arequipa,148
266,0.5,Pacific,266,Río Sumbay,84.94,84.94,4,Arequipa,4780,4,Arequipa,"4,267"
298,0.4,Amazonas,298,Río Velille,192.74,192.74,4,Arequipa,4938,8,Cusco,"2,568"
308,0.5,Pacific,308,Río Yarabamba,55.94,55.94,4,Arequipa,4520,4,Arequipa,"2,148"
313,0.5,Pacific,313,Río Yura,87.89,87.89,4,Arequipa,4763,4,Arequipa,"1,453"
317,0.5,Pacific,317,Río de Sumana,59.13,59.13,4,Arequipa,4762,4,Arequipa,"2,998"
1,0.5,Pacific,1,Quebrada Acaville,61.65,61.65,5,Ayacucho,4059,4,Arequipa,304
12,0.5,Pacific,12,Quebrada De Chala,76.03,76.03,5,Ayacucho,3971,4,Arequipa,0
25,0.5,Pacific,25,Quebrada Ingenio,102.72,102.72,5,Ayacucho,4254,11,Ica,209
33,0.5,Pacific,33,Quebrada Languire,62.74,62.74,5,Ayacucho,3751,5,Ayacucho,506
61,0.5,Pacific,61,Río Acarí,211.6,211.6,5,Ayacucho,4394,4,Arequipa,3
90,0.4,Amazonas,90,Río Caracha,421.97,421.97,5,Ayacucho,4510,8,Cusco,989
118,0.4,Amazonas,118,Río Chuimacota,51.19,51.19,5,Ayacucho,4203,8,Cusco,504
