index,year,region_id,region,activity_temperature_id,annual_celsius,activity_humidity_id,annual_avg,activity_rain_id,annual_mlm
230,2021,5,Ayacucho,1,17.44166667,2,63.33333333,3,0
231,2021,6,Cajamarca,1,14.90833333,2,65.28333333,3,725.2
232,2021,7,Callao,1,0,2,0,3,0
233,2021,8,Cusco,1,14.04,2,74.4,3,0
234,2021,9,Huancavelica,1,10.29166667,2,81.08333333,3,954.4
235,2021,10,Huanuco,1,20.825,2,64.31666667,3,500.4
236,2021,11,Ica,1,22.04,2,71.28,3,0
237,2021,12,Junin,1,12.68333333,2,59.68333333,3,655.1
238,2021,13,La Libertad,1,19.70833333,2,93.25,3,9.8
239,2021,14,Lambayeque,1,20.51666667,2,82.74166667,3,42.6
240,2021,15,Lima,1,18.47743939,2,83.5429631,3,6.9
241,2021,16,Loreto,1,27.49166667,2,85.35,3,3276.6
242,2021,17,Madre de Dios,1,26.54545455,2,91.43636364,3,0
243,2021,18,Moquegua,1,18.60832098,2,a/,3,0.6
244,2021,19,Pasco,1,…,2,a/,3,0
245,2021,20,Piura,1,23.775,2,72.69166667,3,30.7
246,2021,21,Puno,1,9.67736485,2,55.30459452,3,640.8
247,2021,22,San Martin,1,23.06,2,81.75,3,0
248,2021,23,Tacna,1,17.75833333,2,87.15,3,19.1
249,2021,24,Tumbes,1,24.50833333,2,82.65833333,3,229.1
250,2021,25,Ucayali,1,25.68333333,2,86.65833333,3,1743.8
251,2022,1,Amazonas,1,15,2,79,3,810
252,2022,2,Ancash,1,11.1,2,63,3,654.1
253,2022,3,Apurimac,1,15.6,2,76,3,0
254,2022,4,Arequipa,1,16,2,50,3,76.7
255,2022,5,Ayacucho,1,17.7,2,61,3,480.3
256,2022,6,Cajamarca,1,14.8,2,62,3,744.9
257,2022,7,Callao,1,0,2,0,3,0
258,2022,8,Cusco,1,12.5,2,73,3,0
259,2022,9,Huancavelica,1,10.7,2,87,3,778.7
260,2022,10,Huanuco,1,20.9,2,63,3,357.7
261,2022,11,Ica,1,20.8,2,69,3,0.4
262,2022,12,Junin,1,12.5,2,70,3,754.6
263,2022,13,La Libertad,1,18.8,2,95,3,4.1
264,2022,14,Lambayeque,1,19.8,2,81,3,24
265,2022,15,Lima,1,18,2,82,3,7.4
266,2022,16,Loreto,1,27.3,2,86,3,2515.4
267,2022,17,Madre de Dios,1,26.1,2,92,3,1736.6
268,2022,18,Moquegua,1,19.4,2,71,3,5.3
269,2022,19,Pasco,1,5.4,2,83,3,0
270,2022,20,Piura,1,22.5,2,71,3,0
271,2022,21,Puno,1,9.7,2,47,3,509.8
272,2022,22,San Martin,1,23.3,2,80,3,1172.8
273,2022,23,Tacna,1,17.5,2,80,3,7.2
274,2022,24,Tumbes,1,24.2,2,87,3,0
275,2022,25,Ucayali,1,26.1,2,87,3,2441.3
