continent,continent_id,country,country_id,iso_3,product_name,trade_value
Asia,as,Qatar,asqat,qat,Mangos,20539293
Asia,as,Saudi Arabia,assau,sau,Mangos,79900833
Asia,as,Singapore,assgp,sgp,Mangos,29852938
Asia,as,Syria,assyr,syr,Mangos,1053613
Asia,as,Thailand,astha,tha,Mangos,8021966
Asia,as,Tajikistan,astjk,tjk,Mangos,128179
Asia,as,Turkmenistan,astkm,tkm,Mangos,54717
Asia,as,Timor-Leste,astls,tls,Mangos,26468
Asia,as,Turkey,astur,tur,Mangos,5451531
Asia,as,Uzbekistan,asuzb,uzb,Mangos,3780813
Asia,as,Vietnam,asvnm,vnm,Mangos,69480202
Asia,as,Chinese Taipei,asxxb,,Mangos,2126667
Asia,as,Yemen,asyem,yem,Mangos,11552255
Asia,as,Afghanistan,asafg,afg,Onions,569348
Asia,as,United Arab Emirates,asare,are,Onions,162164398
Asia,as,Armenia,asarm,arm,Onions,2805210
Asia,as,Azerbaijan,asaze,aze,Onions,5209419
Asia,as,Bangladesh,asbgd,bgd,Onions,201122581
Asia,as,Bahrain,asbhr,bhr,Onions,15364785
Asia,as,Brunei,asbrn,brn,Onions,4934940
Asia,as,Bhutan,asbtn,btn,Onions,2120947
Asia,as,China,aschn,chn,Onions,18411711
Asia,as,Christmas Island,ascxr,cxr,Onions,694
Asia,as,Cyprus,ascyp,cyp,Onions,6127811
Asia,as,Georgia,asgeo,geo,Onions,9259277
Asia,as,Hong Kong,ashkg,hkg,Onions,29268724
Asia,as,Indonesia,asidn,idn,Onions,616955626
Asia,as,India,asind,ind,Onions,15708780
Asia,as,Iran,asirn,irn,Onions,65848
Asia,as,Iraq,asirq,irq,Onions,10725331
Asia,as,Israel,asisr,isr,Onions,20063912
Asia,as,Jordan,asjor,jor,Onions,7124517
Asia,as,Japan,asjpn,jpn,Onions,246641845
Asia,as,Kazakhstan,askaz,kaz,Onions,23003237
Asia,as,Kyrgyzstan,askgz,kgz,Onions,3169329
Asia,as,Cambodia,askhm,khm,Onions,434167
Asia,as,South Korea,askor,kor,Onions,42081846
Asia,as,Kuwait,askwt,kwt,Onions,40900896
Asia,as,Laos,aslao,lao,Onions,6118766
Asia,as,Lebanon,aslbn,lbn,Onions,10689703
Asia,as,Sri Lanka,aslka,lka,Onions,149744291
Asia,as,Macau,asmac,mac,Onions,1711166
Asia,as,Maldives,asmdv,mdv,Onions,8338448
Asia,as,Burma,asmmr,mmr,Onions,4033634
Asia,as,Mongolia,asmng,mng,Onions,4612768
Asia,as,Malaysia,asmys,mys,Onions,332340793
Asia,as,Nepal,asnpl,npl,Onions,42368210
Asia,as,Oman,asomn,omn,Onions,64270716
Asia,as,Pakistan,aspak,pak,Onions,74467537
Asia,as,Philippines,asphl,phl,Onions,122570425
Asia,as,Palestine,aspse,pse,Onions,2147034
Asia,as,Qatar,asqat,qat,Onions,37703607
Asia,as,Saudi Arabia,assau,sau,Onions,136656182
Asia,as,Singapore,assgp,sgp,Onions,66121652
Asia,as,Syria,assyr,syr,Onions,3823361
Asia,as,Thailand,astha,tha,Onions,105725863
Asia,as,Tajikistan,astjk,tjk,Onions,125099
Asia,as,Turkmenistan,astkm,tkm,Onions,2943557
Asia,as,Timor-Leste,astls,tls,Onions,1474508
Asia,as,Turkey,astur,tur,Onions,5807389
Asia,as,Uzbekistan,asuzb,uzb,Onions,451886
Asia,as,Vietnam,asvnm,vnm,Onions,481975134
Asia,as,Chinese Taipei,asxxb,,Onions,54167817
Asia,as,Yemen,asyem,yem,Onions,13582604
Africa,af,Angola,afago,ago,Asparagus,5286
Africa,af,Botswana,afbwa,bwa,Asparagus,67289
Africa,af,Cote d'Ivoire,afciv,civ,Asparagus,10602
Africa,af,Democratic Republic of the Congo,afcod,cod,Asparagus,9556
Africa,af,Republic of the Congo,afcog,cog,Asparagus,301
Africa,af,Cape Verde,afcpv,cpv,Asparagus,3165
Africa,af,Djibouti,afdji,dji,Asparagus,219
Africa,af,Egypt,afegy,egy,Asparagus,2216
Africa,af,Ghana,afgha,gha,Asparagus,1017
Africa,af,Guinea,afgin,gin,Asparagus,327
Africa,af,Gambia,afgmb,gmb,Asparagus,35
Africa,af,Guinea-Bissau,afgnb,gnb,Asparagus,20
Africa,af,Equatorial Guinea,afgnq,gnq,Asparagus,1689
Africa,af,Kenya,afken,ken,Asparagus,464
Africa,af,Liberia,aflbr,lbr,Asparagus,2115
Africa,af,Libya,aflby,lby,Asparagus,6581
Africa,af,Lesotho,aflso,lso,Asparagus,6479
Africa,af,Morocco,afmar,mar,Asparagus,197537
Africa,af,Mali,afmli,mli,Asparagus,388
Africa,af,Mozambique,afmoz,moz,Asparagus,38035
Africa,af,Mauritius,afmus,mus,Asparagus,48354
Africa,af,Malawi,afmwi,mwi,Asparagus,2768
Africa,af,Namibia,afnam,nam,Asparagus,44950
Africa,af,Niger,afner,ner,Asparagus,2807
Africa,af,Nigeria,afnga,nga,Asparagus,481818
Africa,af,Senegal,afsen,sen,Asparagus,1450
Africa,af,Sierra Leone,afsle,sle,Asparagus,303
Africa,af,Sao Tome and Principe,afstp,stp,Asparagus,500
Africa,af,Eswatini,afswz,swz,Asparagus,23071
Africa,af,Seychelles,afsyc,syc,Asparagus,107173
Africa,af,Togo,aftgo,tgo,Asparagus,4860
Africa,af,Tanzania,aftza,tza,Asparagus,2573
Africa,af,Uganda,afuga,uga,Asparagus,1880
Africa,af,South Africa,afzaf,zaf,Asparagus,776803
Africa,af,Zambia,afzmb,zmb,Asparagus,10177
