index,year,region_id,region,artisan,livestock_fisher_miner_quarry,driver,house_worker,manager_administrator_professional,salesperson,service_worker,worker,total,total_pea_thousands
154,2009,23,Tacna,10.18975,17.59361,6.55253,2.21462,14.59118,18.97061,17.3579,5.94456,100,157.1
155,2009,24,Tumbes,9.66916,17.76137,10.13593,1.77109,11.90014,20.14933,19.16696,4.84203,100,116.1
156,2009,25,Ucayali,11.72671,25.18015,7.67612,2.19217,9.68727,17.31166,17.32933,4.07468,100,241.1
157,2010,0,Nacional,11.38881,26.03503,5.78038,3.15318,12.38892,16.37581,14.26928,4.37983,100,15089.9
158,2010,1,Amazonas,5.18426,58.02097,4.56192,1.31796,5.93243,12.36616,6.36078,3.73991,100,226.1
159,2010,2,Ancash,9.93406,36.46143,5.42463,1.81714,9.79835,13.77547,12.01236,7.13085,100,573.2
160,2010,3,Apurimac,2.32405,62.21008,1.78819,0.67903,7.99335,12.49417,5.40636,4.90622,100,231.1
161,2010,4,Arequipa,12.59031,16.85193,6.26084,2.44579,18.6954,16.7176,16.18615,3.51189,100,615.8
162,2010,5,Ayacucho,6.26989,51.67247,2.57391,0.69893,8.326,14.92444,7.23017,4.38208,100,320.6
163,2010,6,Cajamarca,8.95299,55.43213,2.73677,2.0369,8.61525,8.73302,7.32162,3.86333,100,801.7
164,2010,7,Callao,14.39354,1.15895,6.21232,4.80379,15.33052,17.13086,22.70414,5.31691,100,480
165,2010,8,Cusco,8.57127,43.21945,3.79308,0.78336,9.88308,14.78505,8.3706,6.59412,100,692.8
166,2010,9,Huancavelica,3.40493,69.53502,1.86165,1.26845,4.74426,9.64157,4.79039,2.90601,100,232.4
167,2010,10,Huanuco,6.66549,55.60784,2.97865,1.57861,8.40194,9.8949,8.38901,3.59931,100,424.1
168,2010,11,Ica,13.43098,18.14001,7.81676,2.31242,12.63081,17.21647,17.57227,5.64965,100,377.4
169,2010,12,Junin,12.53583,34.86411,5.85833,0.96839,10.31464,15.8608,11.9937,3.92384,100,656.1
170,2010,13,La Libertad,13.65035,26.77468,6.11103,3.05906,10.83354,17.73767,13.66354,3.94391,100,889.7
171,2010,14,Lambayeque,10.51393,25.84963,6.95865,3.40123,10.40471,20.91225,13.03563,4.97089,100,612.4
172,2010,15,Lima,15.05709,3.43174,6.97609,5.59417,17.07042,19.31337,18.88969,3.48253,100,4614.3
173,2010,16,Loreto,6.66652,31.93435,5.60527,2.9554,9.60605,16.99508,15.49169,5.12589,100,455.6
174,2010,17,Madre de Dios,8.69721,24.16741,8.81334,0.72024,13.08969,18.8411,16.45199,3.08629,100,69.3
175,2010,18,Moquegua,10.31238,25.03955,6.76117,1.72712,13.59835,12.18145,12.86296,10.23468,100,94.9
176,2010,19,Pasco,5.93455,45.4002,5.57543,1.43493,10.70413,12.50541,10.57048,4.02659,100,149
177,2010,20,Piura,10.13587,30.78937,6.67693,3.11097,7.36372,18.00446,14.75888,5.55194,100,859.8
178,2010,21,Puno,9.44011,48.43019,4.21719,0.82087,7.8214,13.55395,8.10451,4.24615,100,759.2
179,2010,22,San Martin,6.64027,44.20747,4.4661,1.85111,10.80964,11.67026,11.08939,4.4175,100,418.3
180,2010,23,Tacna,11.58645,14.65527,6.40207,1.95821,17.65352,17.31362,15.47243,6.3276,100,166.8
181,2010,24,Tumbes,9.08984,15.43487,10.04206,1.60142,12.0433,19.42904,20.10951,5.97543,100,120.2
182,2010,25,Ucayali,10.0525,25.04716,8.37864,1.6743,10.10236,16.03099,19.87637,3.89008,100,248.8
183,2011,0,Nacional,11.39582,26.16574,6.07729,2.71864,12.69146,16.0118,14.02303,4.01076,100,15307.3
184,2011,1,Amazonas,4.75326,61.78349,3.3627,1.20018,6.71671,11.50907,5.53755,2.93384,100,229.6
185,2011,2,Ancash,9.78655,34.27583,5.00099,1.54366,10.11849,13.91608,15.00626,5.6154,100,572.9
186,2011,3,Apurimac,4.62568,57.81561,2.40672,0.69831,7.13246,12.54209,7.63345,3.86026,100,238.1
187,2011,4,Arequipa,14.37624,18.80407,8.32636,2.67647,14.19401,15.15126,14.27081,5.07872,100,635.1
188,2011,5,Ayacucho,7.27592,53.05039,3.55176,1.11155,9.12624,12.33516,7.38809,3.23804,100,332.8
189,2011,6,Cajamarca,8.06217,56.37973,2.69175,0.99067,10.04049,9.03116,6.4581,4.05332,100,803.8
190,2011,7,Callao,15.83381,0.96678,7.38364,4.08451,16.28976,18.26484,22.18649,4.81402,100,482.3
191,2011,8,Cusco,9.31239,41.84902,3.28184,0.8582,9.9521,16.24267,10.06607,3.48888,100,715.5
192,2011,9,Huancavelica,4.06767,67.85344,2.01288,0.96839,5.48772,10.91156,4.75104,1.61826,100,241.5
193,2011,10,Huanuco,6.4226,53.15854,4.10806,1.05824,9.34868,10.93221,8.59484,2.71993,100,429.2
194,2011,11,Ica,12.58346,18.14367,8.88738,1.83782,11.7819,19.58571,16.38594,5.07213,100,389.4
195,2011,12,Junin,10.57222,36.94151,4.70838,0.93575,10.62996,13.57447,13.08282,3.86606,100,675.3
196,2011,13,La Libertad,13.67195,27.4839,6.79487,3.06561,9.46172,16.63818,13.23388,4.63433,100,876.7
197,2011,14,Lambayeque,10.56055,24.03464,7.90892,3.74489,9.77856,20.16059,13.97424,4.68315,100,610.2
198,2011,15,Lima,15.26678,3.53429,6.87209,4.59486,18.1506,18.07413,18.30141,3.48402,100,4719.5
199,2011,16,Loreto,6.97782,32.6319,5.89736,2.63402,10.83693,16.63401,14.67569,3.98048,100,462.3
200,2011,17,Madre de Dios,8.04282,24.94554,10.53889,0.92873,15.36351,17.08338,14.1793,4.07447,100,68.7
201,2011,18,Moquegua,10.4139,28.88395,6.48751,1.5677,12.76259,11.61192,14.21351,7.41982,100,93.9
202,2011,19,Pasco,7.66965,45.50533,5.19242,1.56852,9.83621,12.00391,10.98184,4.23453,100,149
203,2011,20,Piura,9.01255,29.62226,8.40672,2.79116,9.03626,17.22077,15.43161,4.55924,100,842.5
204,2011,21,Puno,8.40147,49.85366,4.64564,0.66927,8.47667,14.04689,6.63739,4.09033,100,765.1
205,2011,22,San Martin,5.47917,47.61731,4.33736,1.81038,9.53794,13.96141,8.99772,4.21452,100,429.4
206,2011,23,Tacna,10.92617,14.655,7.50055,1.44756,13.67705,22.25498,14.35425,6.72981,100,169.8
207,2011,24,Tumbes,9.24611,16.79805,10.92394,1.50128,10.80671,20.24455,18.69307,5.57051,100,121.6
208,2011,25,Ucayali,11.04553,26.0333,8.82446,1.63232,10.06526,17.91421,17.44325,2.56562,100,253.1
209,2012,0,Nacional,11.3964,25.03056,5.77695,2.60031,13.43111,16.49897,13.59165,4.34256,100,15541.5
210,2012,1,Amazonas,5.23612,61.05746,3.51809,0.72151,8.55192,8.57803,6.48816,2.74284,100,221.6
211,2012,2,Ancash,10.11975,34.03801,5.80875,1.43238,11.04111,15.91454,11.33582,4.93511,100,584.4
212,2012,3,Apurimac,3.95979,58.35473,2.21901,0.95332,9.39258,11.17072,6.18493,4.9355,100,240.7
213,2012,4,Arequipa,13.86674,15.24385,7.15498,2.44257,16.37505,16.92148,15.87339,4.56327,100,628.9
214,2012,5,Ayacucho,4.72074,54.19526,3.71214,1.14644,9.02382,13.39223,6.50036,3.34111,100,320.9
215,2012,6,Cajamarca,7.86628,53.99529,3.61319,1.07537,9.79758,10.68176,5.77431,4.06145,100,768.1
